Id,Location,Latitude,Longitude,Fatalities
649,Al Arish,31.13159,33.79844,0
650,Al Arish,31.13159,33.79844,0
651,Al Arish,31.13159,33.79844,0
652,Al Arish,31.13159,33.79844,0
653,Al Arish,31.13159,33.79844,0
654,Al Arish,31.13159,33.79844,0
655,Al Arish,31.13159,33.79844,0
656,Al Arish,31.13159,33.79844,0
657,Al Arish,31.13159,33.79844,0
658,Al Arish,31.13159,33.79844,0
659,Al Arish,31.13159,33.79844,0
660,Al Arish,31.13159,33.79844,0
661,Al Arish,31.13159,33.79844,0
662,Al Arish,31.13159,33.79844,0
663,Al Arish,31.13159,33.79844,0
664,Al Arish,31.13159,33.79844,0
665,Al Arish,31.13159,33.79844,0
666,Al Arish,31.13159,33.79844,0
667,Al Arish,31.13159,33.79844,0
668,Al Arish,31.13159,33.79844,0
669,Al Arish,31.13159,33.79844,0
670,Al Arish,31.13159,33.79844,0
671,Al Arish,31.13159,33.79844,0
672,Al Arish,31.13159,33.79844,0
673,Al Arish,31.13159,33.79844,0
674,Al Arish,31.13159,33.79844,0
675,Al Arish,31.13159,33.79844,0
676,Al Arish,31.13159,33.79844,0
677,Al Arish,31.13159,33.79844,0
678,Al Arish,31.13159,33.79844,0
679,Al Arish,31.13159,33.79844,0
680,Al Arish,31.13159,33.79844,1
681,Al Arish,31.13159,33.79844,1
682,Al Arish,31.13159,33.79844,1
683,Al Arish,31.13159,33.79844,1
684,Al Arish,31.13159,33.79844,1
685,Al Arish,31.13159,33.79844,1
686,Al Arish,31.13159,33.79844,1
687,Al Arish,31.13159,33.79844,1
688,Al Arish,31.13159,33.79844,1
689,Al Arish,31.13159,33.79844,1
690,Al Arish,31.13159,33.79844,1
